"x"
"+EUROPA"
"AUTODETERMINATZIONE"
"CASAPOUND ITALIA"
"CIVICA POPOLARE LORENZIN"
"DEMOCRAZIA CRISTIANA"
"DESTRE UNITE - FORCONI"
"FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA"
"FORZA ITALIA"
"FRATELLI D'ITALIA CON GIORGIA MELONI"
"GRANDE NORD"
"IL POPOLO DELLA FAMIGLIA"
"ITALIA AGLI ITALIANI"
"ITALIA EUROPA INSIEME"
"LEGA"
"LIBERI E UGUALI"
"LISTA DEL POPOLO PER LA COSTITUZIONE"
"MOVIMENTO 5 STELLE"
"NOI CON L'ITALIA - UDC"
"PARTITO COMUNISTA"
"PARTITO DEMOCRATICO"
"PARTITO REPUBBLICANO ITALIANO - ALA"
"PARTITO VALORE UMANO"
"PATTO PER L'AUTONOMIA"
"PD-UV-UVP-EPAV"
"PER UNA SINISTRA RIVOLUZIONARIA"
"POTERE AL POPOLO!"
"POUR TOUS PER TUTTI PE TCHEUT"
"RINASCIMENTO MIR"
"RISPOSTA CIVICA"
"SIAMO"
"SMS - STATO MODERNO SOLIDALE"
"SVP - PATT"
