"regione";"CIRCOSCRIZIONE";"provincia";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"cognome";"nome";"VOTI_CANDIDATO";"LISTA";"VOTI_LISTA"
"LIGURIA";"GENOVA";"GENOVA";"TORRIGLIA";2115;1070;1314;677;51;"VISIGALLI";"DAVIDE";"2";"RICONQUISTARE L'ITALIA";1
"LIGURIA";"GENOVA";"GENOVA";"TRIBOGNA";610;320;305;162;10;"VISIGALLI";"DAVIDE";"3";"RICONQUISTARE L'ITALIA";2
"LIGURIA";"SAVONA";"SAVONA";"CASTELVECCHIO DI ROCCA BARBENA";167;93;82;44;2;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"CELLE LIGURE";4649;2214;2759;1331;57;"CASSIMATIS";"MARIKA";"1";;
"LIGURIA";"SAVONA";"SAVONA";"CENGIO";2842;1370;1565;792;33;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"CERIALE";4513;2175;2455;1190;48;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"CISANO SUL NEVA";1759;847;1136;554;22;"CASSIMATIS";"MARIKA";"1";;
"LIGURIA";"SAVONA";"SAVONA";"COSSERIA";1104;555;588;307;10;"CASSIMATIS";"MARIKA";"1";;
"LIGURIA";"SAVONA";"SAVONA";"DEGO";2421;1176;938;486;34;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"ERLI";310;157;126;68;4;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"FINALE LIGURE";10579;5047;5564;2737;119;"CASSIMATIS";"MARIKA";"8";;
"LIGURIA";"SAVONA";"SAVONA";"GARLENDA";1044;525;592;290;14;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"GIUSTENICE";875;437;537;272;16;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"GIUSVALLA";826;397;178;98;6;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"LAIGUEGLIA";1582;755;844;414;23;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"LOANO";9351;4316;5117;2398;91;"CASSIMATIS";"MARIKA";"2";;
