"CIRCOSCRIZIONE","COLLEGIO_UNINOMINALE","DESCR_LISTA","CANDIDATO"
"PIEMONTE","PIEMONTE - U04","FRATELLI D'ITALIA CON GIORGIA MELONI","PAOLO ZANGRILLO"
"PIEMONTE","PIEMONTE - U04","LEGA PER SALVINI PREMIER","PAOLO ZANGRILLO"
"PIEMONTE","PIEMONTE - U04","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","PAOLO ZANGRILLO"
"PIEMONTE","PIEMONTE - U04","FORZA ITALIA","PAOLO ZANGRILLO"
"PIEMONTE","PIEMONTE - U04","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","MARIA RITA ROSSA"
"PIEMONTE","PIEMONTE - U04","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","MARIA RITA ROSSA"
"PIEMONTE","PIEMONTE - U04","+EUROPA","MARIA RITA ROSSA"
"PIEMONTE","PIEMONTE - U04","ALLEANZA VERDI E SINISTRA","MARIA RITA ROSSA"
"PIEMONTE","PIEMONTE - U04","MOVIMENTO 5 STELLE","MARIASSUNTA MATRISCIANO DETTA SUSY"
"PIEMONTE","PIEMONTE - U04","AZIONE - ITALIA VIVA - CALENDA","ANNA BRACCO"
"PIEMONTE","PIEMONTE - U04","VITA","GIUSEPPA COSTANTINO"
"PIEMONTE","PIEMONTE - U04","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","LUIGI SALVANESCHI"
"PIEMONTE","PIEMONTE - U04","ITALIA SOVRANA E POPOLARE","FULVIO GRIMALDI"
"PIEMONTE","PIEMONTE - U04","UNIONE POPOLARE CON DE MAGISTRIS","MANRICA BURI"
"PIEMONTE","PIEMONTE - U05","MASTELLA NOI DI CENTRO EUROPEISTI","GIOVANNI FREZZATO"
"PIEMONTE","PIEMONTE - U05","ITALEXIT PER L'ITALIA","DAVIDE GALLO"
"PIEMONTE","PIEMONTE - U05","FRATELLI D'ITALIA CON GIORGIA MELONI","GIORGIO MARIA BERGESIO"
"PIEMONTE","PIEMONTE - U05","LEGA PER SALVINI PREMIER","GIORGIO MARIA BERGESIO"
"PIEMONTE","PIEMONTE - U05","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","GIORGIO MARIA BERGESIO"
"PIEMONTE","PIEMONTE - U05","FORZA ITALIA","GIORGIO MARIA BERGESIO"
"PIEMONTE","PIEMONTE - U05","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","FIAMMETTA ROSSO"
"PIEMONTE","PIEMONTE - U05","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","FIAMMETTA ROSSO"
"PIEMONTE","PIEMONTE - U05","+EUROPA","FIAMMETTA ROSSO"
"PIEMONTE","PIEMONTE - U05","ALLEANZA VERDI E SINISTRA","FIAMMETTA ROSSO"
"PIEMONTE","PIEMONTE - U05","MOVIMENTO 5 STELLE","ROBERTO FALCONE"
"PIEMONTE","PIEMONTE - U05","AZIONE - ITALIA VIVA - CALENDA","VINCENZO PELLEGRINO"
"PIEMONTE","PIEMONTE - U05","VITA","ALESSANDRO GUASTELLA"
"PIEMONTE","PIEMONTE - U05","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","LOREDANA NINETTI"
"PIEMONTE","PIEMONTE - U05","ITALIA SOVRANA E POPOLARE","SONIA GRIECO"
"PIEMONTE","PIEMONTE - U05","UNIONE POPOLARE CON DE MAGISTRIS","MICHELE BARACCO"
"LOMBARDIA","LOMBARDIA - U01","+EUROPA","ORLANDO VIVALDO RINALDI"
"LOMBARDIA","LOMBARDIA - U01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ORLANDO VIVALDO RINALDI"
"LOMBARDIA","LOMBARDIA - U01","ALLEANZA VERDI E SINISTRA","ORLANDO VIVALDO RINALDI"
"LOMBARDIA","LOMBARDIA - U01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ORLANDO VIVALDO RINALDI"
"LOMBARDIA","LOMBARDIA - U01","MASTELLA NOI DI CENTRO EUROPEISTI","VINCENZO DONNARUMMA"
"LOMBARDIA","LOMBARDIA - U01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","MASSIMILIANO ROMEO"
"LOMBARDIA","LOMBARDIA - U01","LEGA PER SALVINI PREMIER","MASSIMILIANO ROMEO"
"LOMBARDIA","LOMBARDIA - U01","FRATELLI D'ITALIA CON GIORGIA MELONI","MASSIMILIANO ROMEO"
"LOMBARDIA","LOMBARDIA - U01","FORZA ITALIA","MASSIMILIANO ROMEO"
"LOMBARDIA","LOMBARDIA - U01","ITALIA SOVRANA E POPOLARE","EMANUELA BRUNA GUGGIOLA PASOLINI"
"LOMBARDIA","LOMBARDIA - U01","MOVIMENTO 5 STELLE","FRANCESCA BONOLDI"
"LOMBARDIA","LOMBARDIA - U01","ITALEXIT PER L'ITALIA","SONIA SIGURTA'"
"LOMBARDIA","LOMBARDIA - U01","AZIONE - ITALIA VIVA - CALENDA","GIUSEPPINA VERSACE DETTA GIUSY"
"LOMBARDIA","LOMBARDIA - U01","UNIONE POPOLARE CON DE MAGISTRIS","ANNA MARIA LURIDIANA"
"LOMBARDIA","LOMBARDIA - U01","VITA","ANDREA TRONCONI"
"LOMBARDIA","LOMBARDIA - U02","+EUROPA","CONCETTA AURORA LONGO"
"LOMBARDIA","LOMBARDIA - U02","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","CONCETTA AURORA LONGO"
"LOMBARDIA","LOMBARDIA - U02","ALLEANZA VERDI E SINISTRA","CONCETTA AURORA LONGO"
"LOMBARDIA","LOMBARDIA - U02","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","CONCETTA AURORA LONGO"
"LOMBARDIA","LOMBARDIA - U02","MASTELLA NOI DI CENTRO EUROPEISTI","LISA MOLTENI"
"LOMBARDIA","LOMBARDIA - U02","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","LICIA RONZULLI"
"LOMBARDIA","LOMBARDIA - U02","LEGA PER SALVINI PREMIER","LICIA RONZULLI"
"LOMBARDIA","LOMBARDIA - U02","FRATELLI D'ITALIA CON GIORGIA MELONI","LICIA RONZULLI"
"LOMBARDIA","LOMBARDIA - U02","FORZA ITALIA","LICIA RONZULLI"
"LOMBARDIA","LOMBARDIA - U02","ITALIA SOVRANA E POPOLARE","LEONARDA MARIA BARBAROTTA"
