"REGIONE";"CIRCOSCRIZIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"COGNOME";"NOME";"VOTI_CANDIDATO";"LISTA";"VOTI_LISTA"
"ABRUZZO";"CHIETI";"CHIETI";"ALTINO";2690,00;1301,00;1353,00;716,00;16,00;"MARCOZZI";"SARA";310,00;"MOVIMENTO 5 STELLE";299,00
"ABRUZZO";"CHIETI";"CHIETI";"ALTINO";2690,00;1301,00;1353,00;716,00;16,00;"MARSILIO";"MARCO";566,00;"AZIONE POLITICA";123,00
"ABRUZZO";"CHIETI";"CHIETI";"ALTINO";2690,00;1301,00;1353,00;716,00;16,00;"MARSILIO";"MARCO";566,00;"UNIONE DI CENTRO - DEM.CRISTIANA - IDEA";22,00
"ABRUZZO";"CHIETI";"CHIETI";"ALTINO";2690,00;1301,00;1353,00;716,00;16,00;"MARSILIO";"MARCO";566,00;"FORZA ITALIA";74,00
"ABRUZZO";"CHIETI";"CHIETI";"ALTINO";2690,00;1301,00;1353,00;716,00;16,00;"MARSILIO";"MARCO";566,00;"LEGA";275,00
"ABRUZZO";"CHIETI";"CHIETI";"ALTINO";2690,00;1301,00;1353,00;716,00;16,00;"MARSILIO";"MARCO";566,00;"FRATELLI D'ITALIA";63,00
"ABRUZZO";"CHIETI";"CHIETI";"ALTINO";2690,00;1301,00;1353,00;716,00;16,00;"LEGNINI";"GIOVANNI";413,00;"PROGRESSISTI - LIBERI E UGUALI";21,00
"ABRUZZO";"CHIETI";"CHIETI";"ALTINO";2690,00;1301,00;1353,00;716,00;16,00;"LEGNINI";"GIOVANNI";413,00;"CENTRISTI X L'EUROPA";15,00
"ABRUZZO";"CHIETI";"CHIETI";"ALTINO";2690,00;1301,00;1353,00;716,00;16,00;"LEGNINI";"GIOVANNI";413,00;"CENTRO DEMOCRATICO +ABRUZZO";45,00
"ABRUZZO";"CHIETI";"CHIETI";"ALTINO";2690,00;1301,00;1353,00;716,00;16,00;"LEGNINI";"GIOVANNI";413,00;"PARTITO DEMOCRATICO";159,00
"ABRUZZO";"CHIETI";"CHIETI";"ALTINO";2690,00;1301,00;1353,00;716,00;16,00;"LEGNINI";"GIOVANNI";413,00;"LEGNINI PRESIDENTE";49,00
