"REGIONE";"CIRCOSCRIZIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"COGNOME";"NOME";"VOTI_CANDIDATO";"LISTA";"VOTI_LISTA"
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"AVIGLIANO UMBRO";1971,00;994,00;1403,00;741,00;17,00;"PAPPALARDO";"ANTONIO";3,00;"GILET ARANCIONI";3,00
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"BASCHI";2221,00;1084,00;1424,00;716,00;14,00;"PAPPALARDO";"ANTONIO";0,00;"GILET ARANCIONI";0,00
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"CALVI DELL'UMBRIA";1489,00;741,00;871,00;464,00;6,00;"PAPPALARDO";"ANTONIO";0,00;"GILET ARANCIONI";0,00
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"CASTEL GIORGIO";1782,00;829,00;1138,00;570,00;7,00;"PAPPALARDO";"ANTONIO";1,00;"GILET ARANCIONI";1,00
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"CASTEL VISCARDO";2445,00;1186,00;1561,00;805,00;21,00;"PAPPALARDO";"ANTONIO";0,00;"GILET ARANCIONI";0,00
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"FABRO";2192,00;1087,00;1308,00;690,00;11,00;"PAPPALARDO";"ANTONIO";1,00;"GILET ARANCIONI";1,00
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"FERENTILLO";1538,00;762,00;1008,00;527,00;9,00;"PAPPALARDO";"ANTONIO";0,00;"GILET ARANCIONI";0,00
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"FICULLE";1401,00;717,00;789,00;421,00;7,00;"PAPPALARDO";"ANTONIO";1,00;"GILET ARANCIONI";1,00
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"GIOVE";1540,00;742,00;1025,00;519,00;5,00;"PAPPALARDO";"ANTONIO";1,00;"GILET ARANCIONI";1,00
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"GUARDEA";1516,00;745,00;1089,00;561,00;10,00;"PAPPALARDO";"ANTONIO";1,00;"GILET ARANCIONI";1,00
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"LUGNANO IN TEVERINA";1229,00;627,00;837,00;447,00;15,00;"PAPPALARDO";"ANTONIO";1,00;"GILET ARANCIONI";1,00
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"MONTECASTRILLI";4038,00;1995,00;2806,00;1415,00;19,00;"PAPPALARDO";"ANTONIO";1,00;"GILET ARANCIONI";1,00
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"MONTECCHIO";1345,00;658,00;907,00;463,00;17,00;"PAPPALARDO";"ANTONIO";0,00;"GILET ARANCIONI";0,00
"UMBRIA";"CIRCOSCRIZIONE UMBRIA";"TERNI";"MONTEFRANCO";1005,00;504,00;710,00;360,00;5,00;"PAPPALARDO";"ANTONIO";0,00;"GILET ARANCIONI";0,00
