"REGIONE";"CIRCOSCRIZIONE";"provincia";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"COGNOME";"NOME";"VOTI_CANDIDATO";"LISTA";"VOTI_LISTA"
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"BRUNI";"AMALIA CECILIA";170,00;"P.S.I.";2,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"DE MAGISTRIS";"LUIGI";178,00;"UNITI CON DE MAGISTRIS";4,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"DE MAGISTRIS";"LUIGI";178,00;"DEMA";58,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"DE MAGISTRIS";"LUIGI";178,00;"CALABRIA RESISTENTE E SOLIDALE";55,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"DE MAGISTRIS";"LUIGI";178,00;"DE MAGISTRIS PRESIDENTE";45,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"DE MAGISTRIS";"LUIGI";178,00;"UN'ALTRA CALABRIA E' POSSIBILE";9,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"DE MAGISTRIS";"LUIGI";178,00;"PER LA CALABRIA CON DE MAGISTRIS";4,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"OCCHIUTO";"ROBERTO";391,00;"FRATELLI D'ITALIA";150,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"OCCHIUTO";"ROBERTO";391,00;"CORAGGIO ITALIA";12,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"OCCHIUTO";"ROBERTO";391,00;"NOI CON L'ITALIA";7,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"OCCHIUTO";"ROBERTO";391,00;"UNIONE DI CENTRO";33,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"OCCHIUTO";"ROBERTO";391,00;"LEGA SALVINI CALABRIA";46,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"OCCHIUTO";"ROBERTO";391,00;"FORZA AZZURRI";48,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"OCCHIUTO";"ROBERTO";391,00;"FORZA ITALIA";92,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"OLIVERIO";"GERARDO MARIO";2,00;"OLIVERIO PRESIDENTE";2,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"BRUNI";"AMALIA CECILIA";2866,00;"PARTITO DEMOCRATICO";1857,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"BRUNI";"AMALIA CECILIA";2866,00;"TESORO CALABRIA";144,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"BRUNI";"AMALIA CECILIA";2866,00;"LA CALABRIA SICURA";91,00
