"REGIONE";"CIRCOSCRIZIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"COGNOME";"NOME";"VOTI_CANDIDATO";"LISTA";"VOTI_LISTA"
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"TREROTOLA";"CARLO";429,00;"BASILICATAPRIMA RISCATTO";8,00
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"TREROTOLA";"CARLO";429,00;"COMUNITA' DEMOCRATICHE - PARTITO DEMOCRA";93,00
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"TREROTOLA";"CARLO";429,00;"VERDI REALTA' ITALIA";4,00
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"TREROTOLA";"CARLO";429,00;"PARTITO SOCIALISTA ITALIANO";89,00
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"TREROTOLA";"CARLO";429,00;"LISTA DEL PRESIDENTE TREROTOLA";91,00
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"TREROTOLA";"CARLO";429,00;"PROGRESSISTI PER LA BASILICATA";102,00
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"TREROTOLA";"CARLO";429,00;"AVANTI BASILICATA";34,00
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"BARDI";"VITO";355,00;"FORZA ITALIA BERLUSCONI PER BARDI";76,00
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"BARDI";"VITO";355,00;"LEGA SALVINI BASILICATA";137,00
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"BARDI";"VITO";355,00;"FRATELLI D'ITALIA";41,00
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"BARDI";"VITO";355,00;"IDEA - UN'ALTRA BASILICATA";28,00
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"BARDI";"VITO";355,00;"BASILICATA POSITIVA BARDI PRESIDENTE";59,00
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"TRAMUTOLI";"VALERIO";19,00;"LA BASILICATA POSSIBILE TRAMUTOLI PRESID";19,00
"BASILICATA";"MATERA";"MATERA";"ACCETTURA";2590,00;1292,00;956,00;511,00;32,00;"MATTIA";"ANTONIO";80,00;"MOVIMENTO 5 STELLE";80,00
"BASILICATA";"MATERA";"MATERA";"ALIANO";1070,00;541,00;467,00;263,00;4,00;"TREROTOLA";"CARLO";107,00;"BASILICATAPRIMA RISCATTO";3,00
