"REGIONE";"CIRCOSCRIZIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"COGNOME";"NOME";"VOTI_CANDIDATO";"LISTA";"VOTI_LISTA"
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALBERA LIGURE";330,00;177,00;223,00;126,00;8,00;"CHIAMPARINO";"SERGIO";41,00;"+EUROPA SÌ TAV";2,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALBERA LIGURE";330,00;177,00;223,00;126,00;8,00;"CHIAMPARINO";"SERGIO";41,00;"PARTITO DEMOCRATICO";21,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALBERA LIGURE";330,00;177,00;223,00;126,00;8,00;"CHIAMPARINO";"SERGIO";41,00;"ITALIA IN COMUNE";2,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALBERA LIGURE";330,00;177,00;223,00;126,00;8,00;"BOERO";"VALTER";0,00;"IL POPOLO DELLA FAMIGLIA";0,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"BERTOLA";"GIORGIO";5088,00;"MOVIMENTO 5 STELLE";4350,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"CIRIO";"ALBERTO";22044,00;"LEGA SALVINI PIEMONTE";14187,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"CIRIO";"ALBERTO";22044,00;"SÌ TAV SÌ LAVORO PER IL PIEMONTE";259,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"CIRIO";"ALBERTO";22044,00;"GIORGIA MELONI FRATELLI D'ITALIA";1949,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"CIRIO";"ALBERTO";22044,00;"FORZA ITALIA BERLUSCONI";4069,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"CIRIO";"ALBERTO";22044,00;"LIBERTAS UDC - PPE";863,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"CHIAMPARINO";"SERGIO";12160,00;"MODERATI PER CHIAMPARINO";633,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"CHIAMPARINO";"SERGIO";12160,00;"LIBERI UGUALI VERDI";1075,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"CHIAMPARINO";"SERGIO";12160,00;"CHIAMPARINO PER IL PIEMONTE DEL SÌ";420,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"CHIAMPARINO";"SERGIO";12160,00;"CHIAMPARINO SÌ DEMOS";124,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"CHIAMPARINO";"SERGIO";12160,00;"+EUROPA SÌ TAV";529,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"CHIAMPARINO";"SERGIO";12160,00;"PARTITO DEMOCRATICO";7810,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"CHIAMPARINO";"SERGIO";12160,00;"ITALIA IN COMUNE";66,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALESSANDRIA";74605,00;35411,00;40812,00;19895,00;447,00;"BOERO";"VALTER";184,00;"IL POPOLO DELLA FAMIGLIA";157,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"BERTOLA";"GIORGIO";52,00;"MOVIMENTO 5 STELLE";41,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"CIRIO";"ALBERTO";250,00;"LEGA SALVINI PIEMONTE";159,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"CIRIO";"ALBERTO";250,00;"SÌ TAV SÌ LAVORO PER IL PIEMONTE";14,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"CIRIO";"ALBERTO";250,00;"GIORGIA MELONI FRATELLI D'ITALIA";24,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"CIRIO";"ALBERTO";250,00;"FORZA ITALIA BERLUSCONI";31,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"CIRIO";"ALBERTO";250,00;"LIBERTAS UDC - PPE";4,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"CHIAMPARINO";"SERGIO";101,00;"MODERATI PER CHIAMPARINO";3,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"CHIAMPARINO";"SERGIO";101,00;"LIBERI UGUALI VERDI";8,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"CHIAMPARINO";"SERGIO";101,00;"CHIAMPARINO PER IL PIEMONTE DEL SÌ";6,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"CHIAMPARINO";"SERGIO";101,00;"CHIAMPARINO SÌ DEMOS";2,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"CHIAMPARINO";"SERGIO";101,00;"+EUROPA SÌ TAV";8,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"CHIAMPARINO";"SERGIO";101,00;"PARTITO DEMOCRATICO";52,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"CHIAMPARINO";"SERGIO";101,00;"ITALIA IN COMUNE";0,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALFIANO NATTA";645,00;304,00;433,00;214,00;14,00;"BOERO";"VALTER";2,00;"IL POPOLO DELLA FAMIGLIA";1,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALICE BEL COLLE";658,00;339,00;383,00;214,00;6,00;"BERTOLA";"GIORGIO";34,00;"MOVIMENTO 5 STELLE";31,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALICE BEL COLLE";658,00;339,00;383,00;214,00;6,00;"CIRIO";"ALBERTO";230,00;"LEGA SALVINI PIEMONTE";153,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALICE BEL COLLE";658,00;339,00;383,00;214,00;6,00;"CIRIO";"ALBERTO";230,00;"SÌ TAV SÌ LAVORO PER IL PIEMONTE";9,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALICE BEL COLLE";658,00;339,00;383,00;214,00;6,00;"CIRIO";"ALBERTO";230,00;"GIORGIA MELONI FRATELLI D'ITALIA";11,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALICE BEL COLLE";658,00;339,00;383,00;214,00;6,00;"CIRIO";"ALBERTO";230,00;"FORZA ITALIA BERLUSCONI";51,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ALICE BEL COLLE";658,00;339,00;383,00;214,00;6,00;"CIRIO";"ALBERTO";230,00;"LIBERTAS UDC - PPE";1,00
